Date,Shell,AstraZeneca,HSBC Holdings,Unilever Group,BP,Diageo,Rio Tinto Group,Glencore,British American Tobacco,GlaxoSmithKline,FTSE 100
2013-12-11,6507.7001953125,3447.0,3166.0,477.20001220703125,1905.5,304.95001220703125,1588.6031494140625,649.7999877929688,3213.5,2075.5,2424.0
2013-12-12,6445.2998046875,3458.0,3142.5,470.75,1880.0,300.20001220703125,1582.0552978515625,647.0999755859375,3192.0,2069.0,2393.0
2013-12-13,6440.0,3518.5,3124.5,465.70001220703125,1883.5,301.04998779296875,1582.0552978515625,646.5,3180.0,2052.0,2385.0
2013-12-16,6522.2001953125,3547.5,3172.0,473.20001220703125,1938.5,305.3999938964844,1600.69140625,653.5,3218.5,2072.5,2413.0
2013-12-17,6486.2001953125,3536.5,3148.0,465.0,1917.0,308.0,1577.522216796875,647.0,3255.0,2077.5,2386.0
2013-12-18,6492.10009765625,3560.0,3172.5,464.8999938964844,1932.0,306.75,1559.8934326171875,648.2999877929688,3248.5,2082.0,2368.0
2013-12-19,6584.7001953125,3599.0,3194.0,472.54998779296875,1957.5,307.8500061035156,1584.57373046875,647.7000122070312,3287.0,2109.0,2398.0
2013-12-20,6606.60009765625,3588.5,3175.5,477.6000061035156,1951.5,306.3999938964844,1584.57373046875,652.0,3313.5,2126.5,2427.0
2013-12-23,6678.60009765625,3598.0,3214.0,484.8500061035156,1964.0,310.04998779296875,1594.1435546875,660.7999877929688,3318.5,2154.0,2439.0
2013-12-24,6694.2001953125,3612.0,3213.5,486.20001220703125,1956.0,308.04998779296875,1600.69140625,661.2000122070312,3325.0,2162.0,2447.0
2013-12-27,6750.89990234375,3605.0,3252.5,488.70001220703125,1993.5,315.70001220703125,1615.298095703125,662.4000244140625,3379.0,2162.5,2473.0
2013-12-30,6731.2998046875,3600.0,3220.5,485.75,1986.5,316.3500061035156,1618.8238525390625,659.0999755859375,3409.0,2151.5,2472.0
2013-12-31,6749.10009765625,3574.5,3238.0,488.04998779296875,2000.0,312.70001220703125,1623.35693359375,662.4000244140625,3409.5,2163.0,2482.0
2014-01-02,6717.89990234375,3558.0,3207.5,488.8500061035156,2000.0,310.5,1611.2686767578125,659.7000122070312,3370.0,2155.5,2436.0
